0:0:0,x,y,z
0:3:23.16,206.25,1490.62,-9426.559
0:3:23.37,-8604.691,-10035.94,-8354.691
0:3:23.58,400.0,4810.94,-4342.19
0:3:23.84,6132.81,9865.62,18496.88
0:3:24.4,1950.0,2210.94,-2810.94
0:3:24.23,-1479.69,-1182.81,-4221.88
0:3:24.43,-9015.62,-11845.31,-13631.25
0:3:24.64,-253.12,2303.12,-6393.75
0:3:24.85,4089.06,9259.379,18071.88
0:3:25.6,-1087.5,-6495.31,2876.56
0:3:25.26,-2335.94,-3760.94,518.75
0:3:25.46,-4506.25,-9140.62,-16079.69
0:3:25.67,-1807.81,-4192.19,-10012.5
0:3:25.89,24295.31,4768.75,3406.25
0:3:26.10,-19629.69,2300.0,573.44
0:3:26.30,2648.44,576.56,-3639.06
0:3:26.51,-2198.44,1468.75,2364.06
0:3:26.71,-7110.94,-17135.94,10550.0
0:3:26.92,11293.75,19110.94,6518.75
0:3:27.17,-16353.12,1473.44,2195.31
0:3:27.39,-16090.62,-2401.56,-33545.31
0:3:27.59,16606.25,-25753.12,-4678.12
0:3:27.81,10621.88,53354.69,48037.5
0:3:28.2,135.94,-11950.0,-46050.0
0:3:28.22,7914.06,-6628.12,-10279.69
0:3:28.44,11853.12,-11531.25,40032.81
0:3:28.65,-8720.309,35535.94,10475.0
0:3:28.87,-6546.88,8956.25,-10993.75
0:3:29.8,5600.0,3548.44,-11015.62
0:3:29.28,-14107.81,22923.44,25079.69
0:3:29.49,-6382.81,-6843.75,-49570.31
0:3:29.70,-148.44,-6484.38,-21448.44
0:3:29.92,14300.0,-23885.94,60568.75
0:3:30.13,-12617.19,34935.94,-204.69
0:3:30.34,-7662.5,10718.75,-26785.94
0:3:30.60,19176.56,-9471.88,21870.31
0:3:30.81,650.0,47350.0,17170.31
0:3:31.2,-2489.06,-8473.441,-16193.75
0:3:31.22,16462.5,3662.5,-18323.44
0:3:31.44,6270.31,23648.44,31879.69
0:3:31.65,-1726.56,21104.69,-47615.62
0:3:31.86,4268.75,-9917.191,-4334.38
0:3:32.7,8704.691,-32859.38,45878.12
0:3:32.28,-31284.38,19303.12,30528.12
0:3:32.49,-9850.0,6873.44,-26901.56
0:3:32.71,4737.5,-12595.31,-12445.31
0:3:32.92,-13629.69,26906.25,33856.25
0:3:33.14,3228.12,-19723.44,-30764.06
0:3:33.35,4198.44,-10237.5,-33025.0
0:3:33.56,8828.12,-14506.25,35118.75
0:3:33.78,13118.75,-701.56,3881.25
0:3:34.5,-15142.19,-21500.0,-28185.94
0:3:34.26,-2757.81,-12721.88,43920.31
0:3:34.47,-27010.94,14703.12,13001.56
